timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label
1721902,-0.99,-0.03,-0.15,1.22,1.22,-0.18,default
1721910,-0.99,-0.03,-0.15,1.22,1.34,-0.18,default
1721918,-0.99,-0.03,-0.15,1.16,1.40,-0.18,default
1721926,-0.99,-0.03,-0.15,1.16,1.40,-0.18,default
1721934,-0.99,-0.03,-0.15,1.28,1.34,-0.24,default
1721942,-0.99,-0.03,-0.15,1.28,1.34,-0.24,default
1721950,-0.99,-0.03,-0.15,1.28,1.46,-0.18,default
1721958,-0.99,-0.03,-0.15,1.16,1.46,-0.18,default
1721966,-0.99,-0.03,-0.15,1.28,1.53,-0.24,default
1721974,-0.99,-0.03,-0.15,0.98,1.77,-0.37,default
1721982,-0.99,-0.03,-0.15,1.04,1.89,-0.37,default
1721990,-0.99,-0.03,-0.15,1.04,2.01,-0.43,default
1721998,-0.99,-0.03,-0.15,1.16,1.71,-0.18,default
1722006,-0.99,-0.03,-0.15,1.22,1.40,-0.18,default
1722014,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722022,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722030,-0.99,-0.03,-0.15,1.40,1.22,-0.12,default
1722038,-0.99,-0.03,-0.15,1.16,1.16,-0.24,default
1722046,-0.99,-0.03,-0.15,1.16,1.28,-0.18,default
1722054,-0.99,-0.03,-0.15,1.40,1.16,-0.12,default
1722062,-0.99,-0.03,-0.15,1.53,1.16,0.00,default
1722070,-0.99,-0.03,-0.15,1.34,1.22,0.00,default
1722078,-0.99,-0.03,-0.15,1.28,1.04,-0.06,default
1722086,-0.99,-0.03,-0.15,1.40,1.04,-0.06,default
1722094,-0.99,-0.03,-0.15,1.40,0.98,-0.12,default
1722102,-0.99,-0.03,-0.15,1.22,0.98,-0.06,default
1722110,-0.99,-0.03,-0.15,1.40,1.53,-0.18,default
1722118,-0.99,-0.03,-0.15,1.53,1.95,-0.31,default
1722126,-0.99,-0.03,0.00,0.00,0.00,0.00,default
1722134,-0.99,-0.03,-0.15,1.53,2.14,-0.43,default
1722142,-0.99,-0.03,-0.15,1.53,2.14,-0.43,default
1722150,-0.99,-0.03,-0.15,1.22,2.44,-0.37,default
1722158,-0.99,-0.03,-0.15,1.34,1.95,-0.37,default
1722166,-0.99,-0.03,-0.15,1.46,1.71,-0.31,default
1722174,-0.99,-0.03,-0.15,1.22,1.53,-0.37,default
1722182,-0.99,-0.03,-0.15,1.04,1.46,-0.12,default
1722190,-0.99,-0.03,-0.15,1.04,1.28,0.00,default
1722198,-0.99,-0.03,-0.15,1.22,0.98,-0.06,default
1722206,-0.99,-0.03,-0.15,1.22,0.79,-0.06,default
1722214,-0.99,-0.03,-0.15,1.22,0.79,-0.06,default
1722222,-0.99,-0.03,-0.15,1.16,1.16,-0.18,default
1722230,-0.99,-0.03,-0.15,1.16,1.16,-0.18,default
1722238,-0.99,-0.03,-0.15,1.22,1.22,-0.18,default
1722246,-0.99,-0.03,-0.15,1.16,1.34,-0.24,default
1722254,-0.99,-0.03,-0.15,1.10,1.40,-0.43,default
1722262,-0.99,-0.02,-0.15,0.85,1.53,-0.43,default
1722270,-0.99,-0.03,-0.15,1.10,1.16,-0.18,default
1722278,-0.99,-0.03,-0.15,1.65,0.92,0.00,default
1722286,-0.99,-0.03,-0.15,1.71,0.79,-0.12,default
1722294,-0.98,-0.03,-0.16,1.46,0.31,0.06,default
1722302,-0.98,-0.02,-0.16,1.22,-0.79,0.37,default
1722310,-0.98,-0.02,-0.16,1.22,-2.08,1.04,default
1722318,-0.99,-0.03,-0.15,0.92,-2.62,1.34,default
1722326,-0.99,-0.03,-0.15,0.92,-2.62,1.34,default
1722334,-0.98,-0.02,-0.15,0.79,-2.62,1.71,default
1722342,-0.99,-0.03,-0.16,0.79,-2.62,1.71,default
1722350,-1.01,-0.05,-0.14,1.59,-3.30,1.71,default
1722358,-0.99,-0.03,-0.16,0.67,-1.04,0.98,default
1722366,-0.99,-0.04,-0.16,0.61,0.00,0.49,default
1722374,-0.99,-0.03,-0.16,0.49,0.85,-0.06,default
1722382,-0.99,-0.03,-0.16,0.49,1.28,-0.49,default
1722390,-0.99,-0.03,-0.16,0.92,1.40,-0.61,default
1722398,-0.99,-0.03,-0.16,1.22,1.40,-0.67,default
1722406,-0.99,-0.03,-0.16,1.40,1.28,-0.73,default
1722414,-1.00,-0.03,-0.14,1.10,2.20,-0.49,default
1722422,-1.00,-0.03,-0.14,1.10,2.20,-0.49,default
1722430,-0.99,-0.03,-0.15,0.92,3.85,-0.73,default
1722438,-0.99,-0.03,-0.15,0.92,3.85,-0.73,default
1722446,-0.99,-0.03,-0.15,1.10,4.03,-0.67,default
